Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
3,9,PARASHA,Ki Tetze,,zohar-la-am-pesach-ki-tetze,Ki Tetze,,כי תצא,,Ки Тецэ,,Ki Teze,,Ki Tetzé,,Ki Tetze,,Кі Теце,
3,10,BOOK,Shir Hashirim,,zohar-la-am-pesach-shir-ha-shirim,Shir Hashirim,,שיר השירים,,,,,,,,,,,
2,2,COLLECTION,Shavuot,,zohar-la-am-shavuot,Shavuot,,מאמרים לשבועות,,,,,,,,,,,
3,1,PARASHA,Tetzaveh,,zohar-la-am-shavuot-tetzaveh,Tetzaveh,,תצווה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
3,2,PARASHA,Emor,,zohar-la-am-shavuot-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
3,3,PARASHA,Pinchas,,zohar-la-am-shavuot-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
3,4,BOOK,Hakdamat Sefer Zohar,,zohar-la-am-shavuot-hakdama,,,הקדמת ספר הזוהר,,,,,,,,,,,
3,5,PARASHA,Yitro,,zohar-la-am-shavuot-yitro,Yitro,,יתרו,,Итро,,Jitro/Jetro/Jethro,,Itró,,Yitro,,Їтро,
2,3,COLLECTION,Rosh Hashana,,zohar-la-am-rosh-hashana,Rosh Hashana,,מאמרים לראש השנה,,,,,,,,,,,
3,1,PARASHA,VaYera,,zohar-la-am-rosh-hashana-vayera,VaYera,,ויירא,,Ваера,,WaJera,,Vaierá,,VaYera,,Ваєра,
3,2,PARASHA,Tetzaveh,,zohar-la-am-rosh-hashana-tetzaveh,Tetzaveh,,תצווה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
3,3,PARASHA,VaYikra,,zohar-la-am-rosh-hashana-vayikra,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
3,4,PARASHA,Emor,,zohar-la-am-rosh-hashana-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
3,5,PARASHA,Pinchas,,zohar-la-am-rosh-hashana-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
3,6,PARASHA,Shoftim,,zohar-la-am-rosh-hashana-shoftim,Shoftim,,שופטים,,Шофтим,,Schoftim,,Shoftím,,Şoftim,,Шофтім,
2,4,COLLECTION,Yom Kipurim,,zohar-la-am-yom-kipurim,Yom Kipurim,,מאמרים ליום הכיפורים,,,,,,,,,,,
3,1,PARASHA,Noah,,zohar-la-am-yom-kipurim-noah,Noah,,נוח,,Ноах,,Noach,,Noaj,,Nuh,,Ноах,
3,2,PARASHA,Tetzaveh,,zohar-la-am-yom-kipurim-tetzaveh,Tetzaveh,,תצווה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
3,3,PARASHA,VaYikra,,zohar-la-am-yom-kipurim-vayikra,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
3,4,PARASHA,Acharei Mot,,zohar-la-am-yom-kipurim-aharei-mot,Acharei Mot,,אחרי מות,,Ахарей,,Acharei Mot,,Ajaréi Mot,,Akhrey Mot,,Ахарей,
3,5,PARASHA,Emor,,zohar-la-am-yom-kipurim-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
3,6,PARASHA,Balak,,zohar-la-am-yom-kipurim-balak,Balak,,בלק,,Балак,,Balak,,Balak,,Balak,,Балак,
3,7,PARASHA,Pinchas,,zohar-la-am-yom-kipurim-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
2,5,COLLECTION,Sukot,,zohar-la-am-sukot,Sukot,,מאמרים לסוכות,,,,,,,,,,,
3,1,PARASHA,VaYechi,,zohar-la-am-sukot-vayechi,VaYechi,,ויחי,,Ваихи,,Wajechi,,Vaiejí,,VaYekhi,,Ваєхі,
3,2,PARASHA,Tetzaveh,,zohar-la-am-sukot-tetzaveh,Tetzaveh,,תצווה,,Тецавэ,,Tezawe,,Tetzavé,,Tetzaveh,,Тецаве,
3,3,PARASHA,VaYikra,,zohar-la-am-sukot-vayikra,VaYikra,,ויקרא,,Ваикра,,Wajikra,,Vayikrá,,Vayikra,,Ваїкра,
3,4,PARASHA,Tzav,,zohar-la-am-sukot-tzav,Tzav,,צו,,Цав,,Zaw,,Tzav,,Tzav,,Цав,
3,5,PARASHA,Metzora,,zohar-la-am-sukot-metzora,Metzora,,מצורע,,Мецора,,Mezora,,Metzorá,,Metzora,,Мецора,
3,6,PARASHA,Emor,,zohar-la-am-sukot-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
3,7,PARASHA,Pinchas,,zohar-la-am-sukot-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
3,8,PARASHA,Ki Tetze,,zohar-la-am-sukot-ki-tetze,Ki Tetze,,כי תצא,,Ки Тецэ,,Ki Teze,,Ki Tetzé,,Ki Tetze,,Кі Теце,
1,12,VOLUME,Vol. 12,Ktaim Nivcharim,,Vol. 12,,כרך יב,קטעים נבחרים,Том 12,,Band 12,,Vol. 12,,Cilt 12,,Том 12,
2,1,COLLECTION,Abraham,,zohar-la-am-Ktaim-abraham,,,אברהם,,,,,,,,,,,
2,2,COLLECTION,Adam Rishon,,zohar-la-am-Ktaim-adam-rishon,,,"אדם הראשון (אדה""ר)",,,,,,,,,,,
2,3,COLLECTION,Ahava,,zohar-la-am-Ktaim-ahava,,,אהבה,,,,,,,,,,,
2,4,COLLECTION,Ahavat Haverim,,zohar-la-am-Ktaim-ahavat-haverim,,,אהבת חברים,,,,,,,,,,,
2,5,COLLECTION,Or,,zohar-la-am-Ktaim-or,,,אור,,,,,,,,,,,
2,6,COLLECTION,Otiot,,zohar-la-am-Ktaim-otiot,,,אותיות,,,,,,,,,,,
